citing,papers_omid_for_citing,cited,papers_omid_for_cited
br/061403431504,,br/06303564373,br/06303564373
br/061403431504,,br/06303564705,br/06303564705
br/061403431504,,br/061703385029,br/061703385029
br/061403431504,,br/061703385971,br/061703385971
br/061403431504,,br/061703385763,br/061703385763
br/061403431504,,br/062603169544,br/062603169544
br/061703468449,,br/06803303013,br/06803303013
br/061703468448,,br/06902522024,br/06902522024
br/061103475099,,br/06902521708,br/06902521708
br/06303858778,,br/0640188007,br/0640188007
br/062403450818,,br/062202938353,br/062202938353
br/061803438348,,br/06802910053,br/06802910053
br/061803438348,,br/06103645680,br/06103645680
br/061503435768,,br/06201938596,br/06201938596
br/061103474930,,br/06603597299,br/06603597299
br/06103901160,,br/062503138593,br/062503138593
br/061303450753,,br/06101953176,br/06101953176
br/061303451201,,br/06802910411,br/06802910411
br/061303451201,,br/061403326647,br/061403326647
br/061303451201,,br/06803303021,br/06803303021
br/061303451201,,br/061502990200,br/061502990200
br/061303451201,,br/06201938884,br/06201938884
br/061303451201,,br/061703385145,br/061703385145
br/061303451201,,br/06801939385,br/06801939385
br/061303451201,,br/062503138821,br/062503138821
br/061303451201,,br/062202938506,br/062202938506
br/061303451201,,br/06801939112,br/06801939112
br/061303451197,,br/061502990529,br/061502990529
br/061303451197,,br/062503139002,br/062503139002
br/061303451197,,br/06101953425,br/06101953425
br/061303451197,,br/061403372166,br/061403372166
br/061303451197,,br/06303564632,br/06303564632
br/061303451197,,br/062503139323,br/062503139323
br/061303451197,,br/062102462119,br/062102462119
br/061303451197,,br/06303564407,br/06303564407
br/061303451197,,br/061403129256,br/061403129256
br/061303451197,,br/062503138647,br/062503138647
br/061303451196,,br/061502990139,br/061502990139
br/061303451196,,br/06303564069,br/06303564069
br/061303451196,,br/061303135339,br/061303135339
br/061303451198,,br/06102894830,br/06102894830
br/061303451198,,br/061403129111,br/061403129111
br/061303451200,,br/061502990145,br/061502990145
br/061303451200,,br/062202938140,br/062202938140
br/061303451200,,br/061502990554,br/061502990554
br/061303451200,,br/06101953313,br/06101953313
br/061303451202,,br/061703385546,br/061703385546
br/061303451202,,br/061703385041,br/061703385041
br/061303451207,,br/061303135198,br/061303135198
br/061303451207,,br/062503231033,br/062503231033
br/061303451207,,br/06201938878,br/06201938878
br/061303451207,,br/06902522080,br/06902522080
br/061303451207,,br/06303564357,br/06303564357
br/061303451209,,br/062603169421,br/062603169421
br/061303451209,,br/06902522034,br/06902522034
br/061303451205,,br/061703385546,br/061703385546
br/061303451205,,br/061703385041,br/061703385041
br/061303451205,,br/06603311868,br/06603311868
br/061303451204,,br/062503139439,br/062503139439
br/061303451204,,br/06202880584,br/06202880584
br/061303451204,,br/06902916044,br/06902916044
br/061303451210,,br/06303564353,br/06303564353
br/061303451210,,br/06803303310,br/06803303310
br/061303451210,,br/06202880536,br/06202880536
br/061303451206,,br/06803303302,br/06803303302
br/061303451206,,br/061703385546,br/061703385546
br/061303451206,,br/061703385041,br/061703385041
br/061303451208,,br/061703385671,br/061703385671
br/061303451208,,br/061502990169,br/061502990169
br/061303451208,,br/061703385814,br/061703385814
br/061303451208,,br/061703385555,br/061703385555
br/062503458968,,br/0630184121,br/0630184121
br/062503458909,,br/061503151345,br/061503151345
br/062503458909,,br/06102894846,br/06102894846
br/062503458909,,br/06202880891,br/06202880891
br/062403461532,,br/062202937673,br/062202937673
br/062503459006,,br/06903290720,br/06903290720
br/062503459000,,br/06201938584,br/06201938584
br/061303451212,,br/061403128926,br/061403128926
br/061303451212,,br/062503138636,br/062503138636
br/061303451212,,br/062202938488,br/062202938488
br/061303451212,,br/06803303023,br/06803303023
br/061303451213,,br/062503138948,br/062503138948
br/061303451211,,br/061102305631,br/061102305631
br/061303451211,,br/06103645996,br/06103645996
br/061303451211,,br/06802909920,br/06802909920
br/061303451211,,br/062503139317,br/062503139317
br/061303451211,,br/06201938896,br/06201938896
br/06203898785,,br/0630183880,br/0630183880
br/061303451222,,br/06201938944,br/06201938944
br/061303451222,,br/06303801059,br/06303801059
br/061303451222,,br/06101953671,br/06101953671
br/061303451225,,br/06102735536,br/06102735536
br/061303451225,,br/0630184088,br/0630184088
br/061303451224,,br/06302110357,br/06302110357
br/061303451224,,br/061502990150,br/061502990150
br/061303451224,,br/062603169421,br/062603169421
br/061303451224,,br/06902915761,br/06902915761
br/061303451223,,br/06202880734,br/06202880734
br/061303451226,,br/06803303351,br/06803303351
br/061303451226,,br/0640188252,br/0640188252
br/061303451226,,br/06802909988,br/06802909988
br/061303451226,,br/06101953125,br/06101953125
br/061303451226,,br/062503138628,br/062503138628
br/061303451231,,br/061403129458,br/061403129458
br/061303451231,,br/06902915564,br/06902915564
br/061303451231,,br/061303344961,br/061303344961
br/061303451231,,br/06202880958,br/06202880958
br/061303451231,,br/061502990360,br/061502990360
br/061303451231,,br/062503170355,br/062503170355
br/061303451231,,br/062302941692,br/062302941692
br/061303451231,,br/06803302785,br/06803302785
br/061303451231,,br/061502990322,br/061502990322
br/061303451231,,br/061503151347,br/061503151347
br/061303451231,,br/061303135264,br/061303135264
br/061303451231,,br/06103645572,br/06103645572
br/061303451231,,br/06802910300,br/06802910300
br/061303451233,,br/062203219694,br/062203219694
br/061303451235,,br/061703385291,br/061703385291
br/061303451235,,br/06303564055,br/06303564055
br/061303451229,,br/06103645964,br/06103645964
br/061303451229,,br/061403129257,br/061403129257
br/061303451229,,br/06202880204,br/06202880204
br/061303451229,,br/061502990145,br/061502990145
